Affix	Abv.	Degree 1	Degree 2	Degree 3	Degree 4	Degree 5	Degree 6	Degree 7	Degree 8	Degree 9	Type	Description
jg	MTR	=, equals	≠ , is not equal to	≈ , is approximately equal to	> , is greater than	< , is less than	≥ , is no less than	≤ , is no greater than	≅ , is congruent to	∝, is proportional to	0	Mathematical Relations
jh	CRL	too uncontrolled, too out-of-control	uncontrolled/helpless(ly) , without control/ out of control	almost completely out of control/almost totally helpless	losing control/losing the ability to…	(only) somewhat in control, (only) partially in control	gaining control/coming to be in control	nearly in control/almost fully in control	in full control	too controlled/with too much control/overly controlled		
jk	ARO	as cause/root/source/basis of a problem or adverse situation	as source of grief/sadness/woe	as source of physical pain	as source/reason/basis for conflict	as source/reason/basis for war	as unwanted distraction/focus of attention	as unwanted, invasive component	as object/entity that is elusive and can’t be reached	as weapon		
jm	MDL	randomly modulate not enough	randomly modulate hardly at all	randomly modulate to a small degree	randomly modulate less than normal	randomly modulate to the nomal degree	randomly modulate more than normal	randomly modulate to a large degree	randomly modulate to a very large degree	randomly modulate too much		
jn	AAW	from ancient North America	from ancient Central America	from ancient Caribbean	from ancient South America	from Western Hemisphere	from modern South America	from modern Caribbean	from modern Central America	from modern North America		
jň	AAO	from ancient Polynesia and Pacific Islands	from ancient Australia, New Zealand	from ancient Western and Central Siberia	from ancient Eastern Siberia	from Polynesia, Australia, New Zealand, or Siberia	from modern Eastern Siberia	from modern Western and Central Siberia	from modern Australia, New Zealand	from modern Polynesia and Pacific Islands		
jp	FRO	as toy	as source of entertainment	as memento/souvenir	as decoration	as gift	as focus of one’s attention	as component/part/piece of something	as object/entity being manipulated/handled/worked on	as tool/utensil		
jř	DST	applying to each equally (unfairly)	applied selectively by decision/preference (unfairly)	respectively (to each) but in differing amounts (unfairly)	selectively at random (unfairly)	respectively (applied in the sequentially spoken order)	selectively at random (fairly)	respectively (to each) but in differing amounts (fairly)	applied selectively by decision/calculation (fairly)	applying to each equally (fairly)		
jt	SRO	X as cause/root/source of a situation/state/problem	X as obstacle/hindrance/hurdle	X as substitute/placeholder for some other dedicated/desired entity	X as scapegoat to be assigned blame	X as the result/outcome	X as object/entity under scrutiny/investigation	X as object/entity being looked for/searched for/sought/chased	X as object/entity/state/outcome aspired to/worked toward/pursued	X as solution/answer to a problem		
jţ	PID	thiocyanate	thiosulfate	glycol	hexacyanoferrate	permanganate	succinate	azanide / amide	manganate	benzoate	0	Polyatomic Ions group D
jv	PRQ	ingredients for making	originating source	initiating cause/reason	event that leads to	event that may lead to	precursor requirement	assumption for tangible basis/foundation	assumption for abstract basis/foundation	premise		
jx	IDR	increase and decrease randomly too slowly	increase and decrease randomly very slowly	increase and decrease randomly slowly	increase and decrease randomly slower than normal	increase and decrease randomly at a normal speed	increase and decrease randomly faster than normal	increase and decrease randomly fast	increase and decrease randomly very fast	increase and decrease randomly too fast		
k	P06	interior movement through behind	movement inside behind	movement into behind	movement along behind	movement across behind	behind	movement out of behind	movement outside behind	exterior movement alongside behind	D1	Position at 0 / -Y / 0
kb	PLC	planted & waiting to sprout	sprouting	budding	flowering/in-bloom	in full summer growth	shedding leaves	wilting	dying/withering	dormant for winter		
kc	EPP	seed/nut	pod (seed)	fruit	leaf	flower/bloom	juice	sap	rhizome/rootstalk	tuber/bulb/corm		
kč	LET	by deliberate inaction, not doing anything to prevent/stop it	by acting against one’s own interests	by deliberately inadequate preventative measures	by removal of hindrance/blockage, cessation of preventative measure	by one’s granting of permission	by unwitting/unknowing inaction, unwittingly not doing anything to prevent/stop it	by inadvertently/accidentally/unwittingly inadequate preventative measures	by underestimating, misjudging, failing to anticipate the situation leading to inadequate preventative measures	despite attempting to prevent it		
kç	PFL	with X’s “front/top” side visible to the observer but largely pointed away at a severe angle	with X’s orientation being “edge-on” and vertical relative to the observer	with X’s “front/top” side visible to the observer but pointed away at an oblique angle	with X’s “front/top” side directly facing the observer	with X’s orientation being “edge-on” and at an oblique angle relative to the observer	with X’s “back/bottom” side directly facing the observer	with X’s “back/bottom” side visible to the observer but somewhat pointed away at an oblique angle	with X’s orientation being “edge-on” and horizontal relative to the observer	with X’s “back/bottom” side visible to the observer but largely pointed away at a severe angle		
kf	S17	interior movement along the back	inside movement at the back	movement into the back	movement along/throughout the back	movement across the back	at the back	movement out of the back	outside movement at the back	exterior movement along the back	D1	Rear/back part of an entity relative to its directional orientation or primary external interface
kh	SBT	too subtle	very subtle/nuanced	subtle/nuanced	somewhat subtle	neither too subtle nor too unsubtle	lumbering/belabored; someowhat unsubtle	obvious/unsubtle	over-the-top/in-your-face/blatant/exaggerated	too obvious/blatant/unsubtle		
kl	M10	interior perlative 2D perpendicular movement	interior 2D perpendicular movement	entering 2D perpendicular movement	continuous course 2D perpendicular movement	2D perpendicular movement across	onward 2D perpendicular movement	exiting 2D perpendicular movement	exterior 2D perpendicular movement	exterior perlative 2D perpendicular movement	D1	Perpendicular-planar range of motion
km	TME	too early/too soon	(quite) early	a little early	almost late/not a moment too soon	just in time/on the dot	slightly late, not enough to make a difference	a little late	late	too late		
kp	EFT	no attempt made at all, not even try to…	minimal attempt/effort at/to, barely even try to…	small attempt/effort at/to, nominally attempt to…	a fair(ly good) attempt/effort at/to, make a fair(ly good) attempt at/to	a normal/standard/usual attempt/effort to; to try to…with the normal/expected degree of effort	a worthy/meaningful attempt/effort at/to, make a significant attempt at/to…	a grand attempt at/to, make a grand/great effort/attempt at/to…	with the utmost personal effort, try as hard as possible to… (personal effort)	maximum effort using all means/resources available		
kr	M03	interior oblique ascent/descent through	oblique ascent/descent inside	entering oblique ascent/descent	continuous oblique ascent/descent	oblique ascent/descent across	oblique ascent/descent onward	exiting oblique ascent/descent	exterior oblique ascent/descent outside	exterior oblique ascent/descent alongside	D1	Oblique vertical quasi-linear translative motion
kř	DPD	objective value/identity/nature utterly dependent upon or determined by another entity	objective value/identity/nature mostly dependent upon or determined by another entity	objective value/identity/nature partially dependent upon or determined by another entity	objective value/identity/nature barely dependent upon or determined by another entity	utterly independent; value/identity/nature/efficacy completely self-determined; sui generis	efficacy/effectiveness/subjective value somewhat/barely determined/dependent upon another entity	efficacy/effectiveness/subjective value somewhat/partially determined/dependent upon another entity	efficacy/effectiveness/subjective value mostly determined/dependent upon another entity	efficacy/effectiveness/subjective value completely determined/dependent upon another entity		
ks	XX2	2nd in physical arrangement	2nd in agreed-upon order	2nd in hierarchical order	2nd	w/2 instances	w/2 or more instances	w/2 parts/sections	w/2 nodes/connections/points	w/2 hierarchical levels/tiers	0	Two
kš	BEH	grotesque, gross, nauseating, sickening	repugnant, revolting, repulsive	despicable, deplorable, detestable	lurid, spectacle-inducing	offensive, ill-mannered, in poor taste	lewd, brazen, shameless	edgy, avant-garde	controversial, socially divisive, “uncomfortable”	shocking		
kt	TPP	in the remote past/once upon a time	past/former/previous	recent	just past	present/current	imminent	forthcoming	future/eventual	in the remote future		
kţ	MAT	undeveloped/immature(ly)/seed/embryo	under-developed/newborn stage/seedling/baby	growing/budding/youthful/young	maturing/developing/getting stronger, bigger, more complex sophisticated	fully developed/fully mature(d)/robust/ripe	overly developed/overripe/showing signs of wear and tear/stressed/under stress/ fatigued	declining/fading; trail off/fade/getting softer or weaker/faded/decrepit/has-been/ past one’s prime	disintegrating/deteriorated/beyond repair or rehabilitation/irreparable/dying	dead/defunct		
kv	APR	contemptible(-ly)/utterly inappropriate(ly)	scandalous(ly)/trashy(-ly)/inappropriate(ly)	ill-mannered/boorish(ly)/improper(ly)/tasteless(ly)	eyebrow-raising/questionable(-ly); somewhat improper(ly) /unorthodox(ically)	more-or-less acceptable, merely adequate	perfectly acceptable(-ly)/perfectly adequate(ly)	appropriate(ly)/proper(ly)/correct(ly)/respectable /tasteful	utterly appropriate(ly), very proper(ly); strictly correct(ly)	stuffy/orthodox/old-fashioned, utterly predictable(ly)		
kw	P12	interior movement through behind+below	movement inside behind+below	movement into behind+below	movement along behind+below	movement across behind+below	behind+below	movement out of behind+below	movement outside behind+below	exterior movement alongside behind+below	D1	Position at 0 / -Y / -Z
ky	P11	interior movement through behind+above	movement inside behind+above	movement into behind+above	movement along behind+above	movement across behind+above	behind+above	movement out of behind+above	movement outside behind+above	exterior movement alongside behind+above	D1	Position at 0 / -Y / +Z
kz	EGY	spring forth (from within), i.e., release pent-up energy into an outward thrusting motion	release (to lower energy state, e.g., fall, let drop, let go, slide, let out, give out, etc.	grow	wither	“keep running”, i.e., by either continuous or periodic addition of fuel/energy to flow, as in a water-wheel, a windmill, an engine, staying awake, working, etc.	spurt, spray, blow out, i.e., release through constriction under pressure	accumulate, i.e., grow via accretion	be drawn out or sucked out, i.e., forced translative motion through aperture via low-pressure differential	become agitated/excited/heated via external energy application		
kẓ	XTM	100⁴th in physical arrangement	100⁴th in agreed-upon order	100⁴th in hierarchical order	100⁴th	w/100⁴ instances	w/100⁴ or more instances	w/100⁴ parts/sections	w/100⁴ nodes/connections/points	w/100⁴ hierarchical levels/tiers		One Hundred Million
l	CTR	but, yet, still (nevertheless)	X, however…	besides, X	setting aside X	except (for) X	even X	not even X	as for X alone	exclusive to X	D1	Adverbial Contrastiveness
lb	CLD	pale ( = bright + desaturated)	light-colored	bright-colored, intense, warm ( = light + saturated)	dull-colored ( = desaturated)	medium-colored	vivid ( = saturated)	dim-colored ( = dark + desaturated)	dark-colored, subdued, cool	deep, extra-dark ( = dark + saturated)		
lc	COS	“more”/“less” = extent/amount/volume	“harder”/“weaker” = degree of intensity or effort	“longer”/“shorter” = duration, time spent being/doing	“better”/“worse” = quality/style	“more efficiently”/“less efficiently” = effort relative to outcome	“greater”/“poorer” = relevant outcome/bottom-line result	“better, efficiently, greater”/“worse, inefficiently, poorer”	“more, harder, longer”/“less, weaker, shorter”	“more, harder, longer, better, efficiently, greater””/“less, weaker, shorter, worse, inefficiently, poorer”		
lč	SIA	only explicitly stated arguments are implied, no unstated arguments should be inferred	only logically required arguments are implied or should be inferred (e.g., a STIMULUS for a state of external sensory input, a RECIPIENT for an act of transferring possession); unstated arguments that are logically unnecessary but possible should not be inferred	logically required arguments should be inferred; logically unnecessary but possible arguments (e.g., INSTRUMENTAL, SITUATIVE, DEPENDENT, or Temporal) may be inferred	logically unnecessary but possible arguments may be inferred, logically required arguments are ONLY those explicitly stated	OK to infer an affective STIMULUS only, no other unstated arguments implied	OK to infer an ERG or EFF agent only, no other unstated arguments implied	OK to infer a temporal context/argument plus any logically required arguments	OK to infer an INSTRUMENTAL argument plus any logically required arguments	OK to infer a SITUATIVE or a DEPENDENT argument  (i.e., a context describable via the SITUATIVE or DEPENDENT case or case-frame) plus any logically required arguments		
lç	SID	outward expression of identity according to social expectations of	exclusive expression of identify according to social expectations of	private expression of identity according to social expectations of	outward expression of identity according to peer/community expectation of	exclusive expression of identify according to peer/community expectation of	private expression of identity according to peer/community expectation of	outward expression of identity according to personal conception of	exclusive expression of identify according to personal conception of	private expression of identity according to personal conception of		
ld	DOP	at its best / being the best it can be / optimally	nearly at its best / being nearly the best it can be / near-optimally	well but could be better / adequately but not optimally / in an adequate or well above-average manner but not as well as it could be	at an above-average level / being above-average / in an above-average manner	at a mediocre level / being mediocre / in as mediocre a manner as can be	at an below-average level / being below-average / in an below-average manner	poorly but could be worse / being poor or bad but not horrible / poorly but not as badly as it could be / well below-average	almost at its worst / being almost the poorest or worst it can be / almost as poorly (done) as can be	at its worst / being the poorest or worst it can be / as poorly (done) as can be		
lḑ	TVP	completely the opposite extreme, polar opposite of, to the utmost opposite/negative extreme, couldn’t be worse, totally backfired	much worse than if nothing had been done	worse than if nothing had been done	somewhat worse than none, a bit worse than if nothing had been done	absence of…/no…at all/neither one way or the other	to a small degree/extent/amount	to a fair degree/extent/amount	to a large degree/extent/amount	to the utmost positive extreme; to the greatest positive extent/amount/degree possible		
lf	LCK	as a result of the worst luck imaginable/as the cruelest fate would have it…	by a stroke of ill-fortune/as ill-fate would have it…	unluckily/unfortunately	with/by a certain degree of ill-fortune or bad luck	neither with or without luck/neither fortunately or unfortunately	with/by a fair bit of luck or good fortune	luckily/fortunately	with/by a great deal of luck/by a stroke of good fortune	by a stroke of incredible luck/by a one-in-a-million shot of good luck		
lg	URS	being foolishly unused/needlessly wasted	being unused/wasted	being left over/remaining	with additional/extra	with just the right amount/number	with a decreasing supply/amount	being scarce/hard to come by/running short on	being not enough/a sufficient lack thereof	being foolishly depleted/having run out of through lack of planning/foresight		
lj	NVS	consisting of or emanating energy in long radio wavelengths	consisting of or emanating energy in short radio wavelengths	consisting of or emanating microwaves	consisting of or emanating light/energy in the far infrared wavelengths	consisting of or emanating light/energy in the near infra-red wavelengths	consisting of or emanating light in the visible spectrum	consisting of or emanating light/energy in the ultraviolet wavelengths	consisting of or emanating X-rays	consisting of or emanating gamma rays		
ļj	X13	13th in physical arrangement	13th in agreed-upon order	13th in hierarchical order	13th	w/13 instances	w/13 or more instances	w/13 parts/sections	w/13 nodes/connections/points	w/13 hierarchical levels/tiers	0	Thirteen (used in the context of a number-base higher than ten)
lk	VWP	from viewpoint of speaker	from viewpoint of 3rd party near speaker	from viewpoint of last mentioned referent	from viewpoint of another party	from viewpoint of a yet undetermined 3rd party	from viewpoint of 3rd party under discussion	from viewpoint of first mentioned referent	from viewpoint of 3rd party near listener	from viewpoint of listener		
ļk	PMU	(in) bars	(in) baryes	(in) psi	(in) torrs	(in) pascals	(in) pièzes	(in) mmHg	(in) inHg	(in) standard atmospheres		
lkř	ADI	temporarily asymptomatic despite	temporarily mildly ill from	temporarily ill from	temporarily severely ill from	terminally ill from [CPT=deceased]	chronically severely ill from	chronically ill from	chronically mildly ill from	chronically asymptomatic despite		
lks	DFB	non-sweet (dry) fermented alcoholic beverage made from	sweet alcoholic beverage made from	non-alcoholic beverage made from	fermented as foodstuff	recipe/dish made from/with	dessert made from	puree of	processed/derived food product made from (e.g., flour)	flavoring/seasoning made from/with		
lm	STR	too weakly/with insufficient strength or power	barely/hardly/weak(ly)/with barely enough strength orpower	somewhat weak(ly)/somewhat underpowered	measured(ly)/soft(ly)/guarded(ly)/with curtailed strength or power/just the needed strength or power	adequately strong; with adequate strength/with sufficient power; with just the right amount of strength or power	strong(ly)/powerful(ly)	very strong(ly)/very powerful(ly)	with as much strength or power as able/with max. Strength possible	too strongly/too powerfully		
ļn	CNW	dual	truncated	subdivided	augmented	kis	beveled	chamfered	join	ambo		
lp	CAP	utterly incapable/completely lacking in all necessary abilities or capacities	underqualified; almost totally lacking in necessary abilities or capacities	lacking in certain key capabilities, mostly inadequate to task	possible but less than likely due to underdeveloped capabilities	unknown if capable or not	somewhat capable/has possible potential to perform	sufficiently capable/adequate potential to perform	fully capable, well within abilities	overly-qualified, more capable than necessary or required		
ļp	EMU	(in) Planck energy units	(in) electronvolts	(in) ergs	(in) hartrees	(in) joules	(in) therms	(in) calories	(in) thermies	(in) quads		
lps	MAS	(in) Planck masses	(in) daltons	(in) grains	(in) grams	(in) kg	(in) metric tonnes	(in) pounds	(in) short tons (2000 lbs)	(in) solar masses		
lř	ADT	also/too	furthermore/moreover	and so forth/and whatever else	as well as something else	…and (as a simultaneous consequence)…	…as well as something else (at the same time)	and so forth/and whatever else (at the same time)	furthermore/moreover (at the same time)	also/too (at the same time)		
ļř	TDP	symmetrical 3D polyhedron having X-number of triangular faces	symmetrical 3D polyhedron having X-number of quadrilateral faces	symmetrical 3D polyhedron having X-number of mixed triangular and quadrilateral faces	symmetrical 3D polyhedron having X-number of mixed polygonal faces	3D form/object whose 2-dimensional/planar outline shape (i.e., against a background) is X	asymmetrical 3D polyhedron having X-number of mixed polygonal faces	asymmetrical 3D polyhedron having X-number of mixed triangular and quadrilateral faces	asymmetrical 3D polyhedron having X-number of quadrilateral faces	asymmetrical 3D polyhedron having X-number of triangular faces		
ls	MEA	holder/stabilizer for being/doing X	mystical/magical/supernatural means for being/doing X	externally powered/motorized means for being/doing X	automated/electronic means for being/doing X	manually operated/manually-powered means for being/doing X	jury-rigged means for being/doing X	method/practice used for being/doing X	device used for being/doing X	rule/regulation/by-law for being/doing X		
lš	DPT	symbol/emblem/logo representing/standing for X	allegorical reference to X	stand-in/substitute for X	symptom of X	representation/depiction/illustration of X	that which is formally titled X	that which bears the (nick-)name X	pointer to/indicator of X	map/blueprint/schematic diagram of X		
lst	ANT	long-awaited	eagerly awaited; can't wait for	anticipated; in anticipation of	up for/up to	await/wait to	ambivalent about	not looking forward to	dreaded	long-dreaded		
lt	RTI	completes after present	occurs after present	continues from present	will continue from present	has & will occur but not at present	had continued into present	continued into present	occurs before present	completes before present		
lţ	SQT	the former; primarily	two before preceding	one before preceding	immediately beforehand	current/at hand	next/following	one after next	second one after next	the latter; secondarily		
ļt	FMU	(in) Planck force units	(in) dynes	(in) poundals	(in) pound-force	(in) newtons	(in) kiloponds	(in) sthènes	(in) kips	(in) ton-forces		
ltř	ION	transition metal cation with +1 charge	transition metal cation with +2 charge	transition metal cation with +3 charge	transition metal cation with +4 charge	hydrogen +anion acid (hydro...ic acid)	compounding anion with -4 charge	compounding anion with -3 charge	compounding anion with -2 charge charge	compounding anion with -1 charge		
lv	DSN	candidate X; X being under consideration for acceptance/initiation	newly established/newly initiated/newly accepted/rookie	recently established/recently initiated/recently accepted/freshman	X-in-training, learning-the-ropes/apprentice X/sophmore	established X/fully-trained X/journeyman X	well-established/senior X	long-time X/long-established X; long-standing X, veteran X	respected elder X; time-honored X	X as emeritus/(quasi-)founding member		
ļv	OEM	(in) watts	(in) horsepower	(in) sieverts	(in) grays	(in) rads	(in) poises	(in) poiseuilles	(in) rayls	(in) janskys		
lz	DSD	want to/that, desire to/that	hope to/that, wish to/that; Type 2: dream about/long to	request/would like to/that/if you please	feel like/up for/be inclined to	envy/covet	deign to/acquiesce to/assent to	be willing to, not mind, be open to, be OK with	would rather/prefer to	demand to/that		
lž	OBG	must/have to	should/ought to	be supposed/expected to, would be best if	feed driven/compelled to/feel a need to	need to/be necessary that/to	agree to	be tempted to	be persuaded to	to be fated/destined to		
lẓ	XX9	9th in physical arrangement	9th in agreed-upon order	9th in hierarchical order	9th	w/9 instances	w/9 or more instances	w/9 parts/sections	w/9 nodes/connections/points	w/9 hierarchical levels/tiers	0	Nine
m	EFE	beneficial to speaker	beneficial to listener	beneficial to 3rd party	beneficial to this formative	unknown effect	detrimental to this formative	detrimental to 3rd party	detrimental to listener	detrimental to speaker	D1	Effect of Statement
mb	MST	sopping/soaking/dripping wet/drenched/overflowing	saturated/at full capacity in terms of holding liquid	wet	somewhat wet	damp/moist	slightly damp/slightly moist	dry	bone-dry/parched	dessicated		
mc	AP1	(RTR) Retrospective	(PRS) Prospective	(HAB) Habitual	(PRG) Progressive	(IMM) Imminent	(PCS) Precessive	(REG) Regulative	(SMM) Summative ‘have already’	(ATP) Anticipatory ‘have yet to’		
mč	AP2	(RSM) Resumptive	(CSS) Cessative	(PAU) Pausal	(RGR) Regressive	(PCL) Preclusive	(CNT) Continuative	(ICS) Incessative	(EXP) Experiential	(IRP) Interruptive ‘only so far before having to stop’		
mç	DCF	DSS set of first-order configurative sets X	DSC set of first-order configurative sets X	DSF set of first-order configurative sets X	DDS set of the first-order configurative sets X	DDC set of first-order configurative sets X	DDF set of first-order configurative sets X	DFS set of first-order configurative sets X	DFC set of first-order configurative sets X	DFF set of first-order configurative sets X		
md	PRT	not portable, solidly integrated into substrate	not portable due to excessive mass, shape/form, texture, toxicity, temperature, etc.	not easily portable, barely portable	potentially portable but traditionally occupying its current location or there is no reason for moving it	potentially portable and location can be moved if needed	actively portable and location is changed as needed	actively portable and location is changed so often that there is a potential problem of knowing where to find it	frequently changing location, difficult to pin down, locate, hold or capture	constantly changing location, impossible to pin down, locate, hold or capture		
mḑ	DDM	utterly wild, savage, untamable	wild/savage unknown if approachable/tamable	wild/savage known to be approachable/tamable	in the process of domestication, being tamed	half-savage/half-wild, half-tamed, half-domesticated	fairly domesticated/tame, potentially subject to reversion to wild state	sufficiently domesticated/tamed	fully domesticated/tamed	permanently domesticated w/o possibility of returning to a wild state (genetically adapted)		
mf	ITL	dumb/stupid/asinine; idiotic(ally) /moronic(ally)	foolhardy/foolish(ly)	ill-conceived(ly)/(in a) poorly thought out (way)	naïve(ly)/simplistic(ally)	well-intentioned but ill-conceived/reckless(ly);risky	well-reasoned/intelligent(ly)	innovative(ly)/daring (based on analysis and judgement)	ingenious/brilliant	wise(ly) [philosophical(ly)₂]		
mh	FLS	too unstable/too random	highly variable/random fluctuation or instability	moderately variable/random fluctuation or instability	increasing fluctuation or destabilization in pattern	ending toward fluctuations and periods of instability	decreasing fluctuation or instability in pattern = increasing stability	moderately stable and lacking in fluctuations	complete lack of fluctuation or instability, highly stable	too stable		
mj	AP4	(DCL) Disclusive	(CCL) Conclusive	(CUL) Culminative	(IMD) Intermediative	(TRD) Tardative	(TNS) Transitional	(ITC) Intercommutative	(MTV) Motive	(SQN) Sequential		
mk	FGN	indigenous/autochthonous/endemic/native	not originally indigenous or autochthonous or native but of long-standing presence and the first to fill a particular niche, there being no pre-existing	not indigenous or autochthonous or native and only recently arrived, but the first to fill a particular niche, there being no pre-existing inhabitants/species/exemplars for that niche	not indigenous or autochthonous but able to peaceably/productively co-exist with or adapt to the indigenous/native inhabitants/lifeforms; “gone native”	foreign-born, of foreign origin; permanently present but not indigenous, not autochthonous, not endemic, not native	foreign, temporarily present from a foreign land/environment/place	alien	incompatibly/harmfully alien, invasive	originally alien but now having conquered/vanquished/eliminated/assimilated the original indigenous/autochthonous inhabitants/lifeforms		
mļ	MNN	gently	gracefully/effortlessly	affectionately/lovingly	empathetically/emotionally	normally	clinically/unemotionally	meanly/disdainfully	clumsily/awkwardly	aggressively/roughly		
mp	DTS	sharp break, sudden shift from one state/form/shape/set of circumstances to another with no discernible transition period/zone(i.e., point-like/instantaneous transition)	extremely brief/small/barely discernible transition period or zone from one state/form/shape/set of circumstances to another	somewhat brief/small/discernible transition period or zone from one state/form/shape/set of circumstances to another	below-average or less-than-normal duration of transition period orzone from one state/form/shape/set of circumstances to another	normal/standard/expected transition period or zone from one state/form/shape/set of circumstances to another	above-average or greater-than-normal duration of transition period orzone from one state/form/shape/set of circumstances to another	somewhat lengthy duration in transition period or zone from one state/form/shape/set of circumstances to another	lengthy duration in transition period or zone from one state/form/shape/set of circumstances to another	very gradual/almost imperceptible rate/degree of change/transition from one state/form/shape/set of circumstances to another		
mř	PXR	partially exclusive “or” w/shared topic, where among three or more referents, 2 or more of the referents may occur, but not all of them	partially exclusive “or” w/shared morphology (unless marked otherwise), where among three or more referents, 2 or more of the referents may occur, but not all of them	partially exclusive “or” w/shared participant, where among three or more referents, 2 or more of the referents may occur, but not all of them	partially exclusive “or” in sequence, where among three or more referents, 2 or more of the referents may occur, but not all of them	partially exclusive “or”, where among three or more referents, 2 or more of the referents may occur, but not all of them	partially exclusive “or” at the same time, where among three or more referents, 2 or more of the referents may occur, but not all of them	partially exclusive “or” at the same time w/shared participant , where among three or more referents, 2 or more of the referents may occur, but not all of them	partially exclusive “or” at the same time w/shared morphology (unless marked otherwise), where among three or more referents, 2 or more of the referents may occur, but not all of them	partially exclusive “or” at the same time w/shared topic, where among three or more referents, 2 or more of the referents may occur, but not all of them		
ms	MEC	the body’s natural method of doing so (e.g., on foot, by hand, etc.)	object employed circumstantially as implement for X-ing	a specialized tool for that specific purpose or activity	a machine or via mechanical means or process	a virtual, electronic means or via engineering	mental power, force of will, concentration	a redirection or collation of energy specially applied	a collective pooling of manual labor resources	a collective pooling of electronic/mechanical/engineering resources		
mš	ENB	by inadvertent gesture/word/sign taken as order or permission	by granting of permission	by cajoling or persuasion	by direct request or imploring	by direct order based on one’s real or perceived authority	by inadvertent removal of hindrance	by inadvertent action that initiates a chain of events	by deliberate removal of hindrance	by deliberate action that initiates a chain of events		
mt	SCL	where it was previously less than	where it was previously more than	where it's still less than	where it's still more than	where it's now less than	where it's now more than	where it was previously just as	where its previous relative state is unknown	where its previous relative state is inapplicable		
mţ	DSR	announced/advertised/heralded, w/ public disclosure	open & well-known, with full public knowledge	open/public, for all to see/publicly/openly	shown, open, or available by request/ by request	semi-public(ly), exclusive(ly), available to select parties	personal, semi-private	private, privately	secret, secretly	confidential/classified		
mv	DCY	I’m probably mistaken in saying this (due to insufficient experience/skill/knowledge on the matter), but…	I may be mistaken in saying this (since my experience/skill/knowledge on the matter may be insufficient), but…	if I’m not mistaken (given that I have a degree of experience/skill/knowledge in the matter)…	I can say with a fair degree of certainty (based on my relevant experience/skill/knowledge in the matter) that…	I can say with absolute certainty (based on sufficient experience/skill/knowledge and/or clear and accurate memory) that…	I can say with a fair degree of certainty (given that I think my memory of the matter is clear), that…	if I’m not mistaken (depending on whether my memory of the matter is as clear as I think it is)…	I may be mistaken in saying this (since my memory of the matter is somewhat vague), but…	I’m probably mistaken in saying this (due to my memory of the matter being rather vague), but…"		
mz	SOC	via lackeys, grunt labor, go-fors or henchmen	by coercion, threat, blackmail	“fronts”, or disguised go-betweens	indirectly through actions of others (unbeknownst to them)	indirectly through actions of others (with their knowledge)	by leveraging existing resources/personnel (deploying existing methods in a new application)	via a proxy or proxies	hired help or staff	by delegation of task to experts		
mž	PWC	(acting as) support/leg/stand/base of X	(acting as) “trunk”, torso, or central bulk portion of X	(acting as) “head” extension or main interface area of X	(acting as) top/upper component relative to gravity or natural vector of movement of X	(acting as) side/flank/ lateral component of X	(acting as) bottom/lower component relative to gravity or natural vector of movement of X	(acting as) middle or divisional segment or joint (e.g., elbow, knee, knuckle)	(acting as) wing/ arm/branch/extensor of X	(acting as) end-manipulator, hand of X		
mẓ	AP3	(PMP) Preemptive	(CLM) Climactic	(DLT) Dilatory ‘over a long period of time’	(TMP) Temporary	(XPD) Expenditive (formerly CSM)	(LIM) Limitative ‘do (just) in time’	(EPD) Expeditive	(PTC) Protractive ‘take one's time’	(PPR) Preparatory ‘do in advance’		
n	TPF	[end of frame]	[end of frame + head of relative clause]	[head of relative clause]	[sentence topic + head of relative clause]	[sentence topic]	[sentence topic + end of frame]	[sentence focus + end of frame + head of rel. clause]	[sentence focus + end of frame]	[sentence focus]	D1	Topic, Frame and Focus
ň	COO	and w/shared topic	and w/shared morphology (unless marked otherwise)	and w/shared participant	and in sequence	and	and at the same time	and at the same time w/shared participant	and at the same time w/shared morphology (unless marked otherwise)	and at the same time w/shared topic	C	Coordinative/Additive
nç	MCF	MSS set of first-order configurative sets X	MSC set of first-order configurative sets X	MSF set of first-order configurative sets X	MDS set of the first-order configurative sets X	MDC set of first-order configurative sets X	MDF set of first-order configurative sets X	MFS set of first-order configurative sets X	MFC set of first-order configurative sets X	MFF set of first-order configurative sets X		
ňc	FP1	with index finger extended/pointing outward	with middle finger extended	with pinkie finger extended	with index and middle fingers extended outward	with fingers and thumb at rest	with index and middle fingers extended and held apart in a “V”	with first three fingers held upright	with four fingers held upright	with thumb extended only		
ňč	FP2	with thumb and pinkie finger extended	with thumb and index finger extended	with four fingers and thumb held outward/extended	with fingers held curled together at first interphalangeal joint (primary finger knuckle)	with fingers held in “Vulcan salute”	with fingers curling and extending in unison	with fingers curling and extending one after the other rapidly(as when imitating a spider crawling)	with fingers “tapping” one after the other (as when impatient)	with index finger curled/crooked (e.g., as when beckoning someone secretly)		
ňç	VRF	source trustworthy, info verifiable	source trustworthy, verifiability of info unknown	source trustworthy, info not verifiable	trustworthiness of source unknown, but info verifiable	trustworthiness of source unknown, and verifiability of info unknown	trustworthiness of source unknown, and info not verifiable	source untrustworthy, but info verifiable	source untrustworthy, and verifiability of info unknown	source untrustworthy, and info not verifiable		
